step,type,description,agent_id,agent_type,timestamp,wage,old_moral,new_moral
0,initial_hire,Poor_31 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,3.92,,
0,initial_hire,Poor_32 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,2.19,,
0,initial_hire,Poor_33 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,2.38,,
0,initial_hire,Poor_34 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,3.71,,
0,initial_hire,Poor_35 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,2.91,,
0,initial_hire,Poor_36 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,3.56,,
0,initial_hire,Poor_37 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,3.07,,
0,initial_hire,Poor_38 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,3.26,,
0,initial_hire,Poor_39 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,3.1,,
0,initial_hire,Poor_40 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,3.9,,
0,initial_hire,Poor_41 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,2.95,,
0,initial_hire,Poor_42 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,3.7,,
0,initial_hire,Poor_43 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,2.72,,
0,initial_hire,Poor_44 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,2.64,,
0,initial_hire,Poor_45 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,2.69,,
1,moral_change,Poor_37 moral 0,Poor_37,PoorAgent,2025-08-10 16:55:12.194764,,1.0,0.0
1,moral_change,Poor_9 moral 1,Poor_9,PoorAgent,2025-08-10 16:57:19.418607,,0.0,1.0
1,moral_change,Poor_25 moral 1,Poor_25,PoorAgent,2025-08-10 16:58:06.339677,,0.0,1.0
1,moral_change,Poor_6 moral 1,Poor_6,PoorAgent,2025-08-10 17:01:02.269508,,0.0,1.0
1,moral_change,Poor_15 moral 1,Poor_15,PoorAgent,2025-08-10 17:01:54.793963,,0.0,1.0
1,moral_change,Poor_40 moral 1,Poor_40,PoorAgent,2025-08-10 17:03:15.791729,,0.0,1.0
2,moral_change,Rich_48 moral 0,Rich_48,RichAgent,2025-08-10 17:11:11.425393,,1.0,0.0
2,moral_change,Poor_37 moral 1,Poor_37,PoorAgent,2025-08-10 17:21:14.148700,,0.0,1.0
2,moral_change,Poor_12 moral 0,Poor_12,PoorAgent,2025-08-10 17:26:05.956900,,1.0,0.0
2,moral_change,Poor_24 moral 0,Poor_24,PoorAgent,2025-08-10 17:28:38.705986,,1.0,0.0
2,moral_change,Poor_17 moral 0,Poor_17,PoorAgent,2025-08-10 17:29:43.849577,,1.0,0.0
2,moral_change,Poor_36 moral 0,Poor_36,PoorAgent,2025-08-10 17:30:24.930910,,1.0,0.0
3,moral_change,Poor_10 moral 0,Poor_10,PoorAgent,2025-08-10 17:31:35.780103,,1.0,0.0
3,moral_change,Poor_12 moral 1,Poor_12,PoorAgent,2025-08-10 17:32:23.039605,,0.0,1.0
3,moral_change,Rich_48 moral 1,Rich_48,RichAgent,2025-08-10 17:33:39.075469,,0.0,1.0
3,moral_change,Rich_49 moral 0,Rich_49,RichAgent,2025-08-10 17:34:33.236493,,1.0,0.0
3,moral_change,Poor_40 moral 0,Poor_40,PoorAgent,2025-08-10 17:35:44.847847,,1.0,0.0
3,moral_change,Poor_26 moral 0,Poor_26,PoorAgent,2025-08-10 17:36:31.923496,,1.0,0.0
3,moral_change,Poor_14 moral 0,Poor_14,PoorAgent,2025-08-10 17:38:07.379693,,1.0,0.0
3,moral_change,Poor_36 moral 1,Poor_36,PoorAgent,2025-08-10 17:38:29.505286,,0.0,1.0
3,moral_change,Poor_39 moral 0,Poor_39,PoorAgent,2025-08-10 17:40:00.428492,,1.0,0.0
3,moral_change,Poor_32 moral 0,Poor_32,PoorAgent,2025-08-10 17:40:53.139991,,1.0,0.0
3,moral_change,Poor_27 moral 0,Poor_27,PoorAgent,2025-08-10 17:45:48.935735,,1.0,0.0
3,moral_change,Poor_7 moral 0,Poor_7,PoorAgent,2025-08-10 17:47:49.269470,,1.0,0.0
3,moral_change,Poor_42 moral 0,Poor_42,PoorAgent,2025-08-10 17:48:13.452630,,1.0,0.0
3,moral_change,Poor_24 moral 1,Poor_24,PoorAgent,2025-08-10 17:50:06.583665,,0.0,1.0
4,moral_change,Rich_48 moral 0,Rich_48,RichAgent,2025-08-10 17:55:30.986915,,1.0,0.0
4,moral_change,Poor_39 moral 1,Poor_39,PoorAgent,2025-08-10 17:55:55.008690,,0.0,1.0
4,moral_change,Poor_25 moral 0,Poor_25,PoorAgent,2025-08-10 17:56:40.712726,,1.0,0.0
4,moral_change,Poor_7 moral 1,Poor_7,PoorAgent,2025-08-10 17:57:27.470890,,0.0,1.0
4,moral_change,Poor_31 moral 0,Poor_31,PoorAgent,2025-08-10 17:59:03.275528,,1.0,0.0
4,moral_change,Poor_26 moral 1,Poor_26,PoorAgent,2025-08-10 18:00:56.885049,,0.0,1.0
4,moral_change,Poor_10 moral 1,Poor_10,PoorAgent,2025-08-10 18:02:30.326385,,0.0,1.0
4,moral_change,Poor_18 moral 0,Poor_18,PoorAgent,2025-08-10 18:05:35.519330,,1.0,0.0
4,moral_change,Poor_42 moral 1,Poor_42,PoorAgent,2025-08-10 18:05:59.582145,,0.0,1.0
4,moral_change,Poor_14 moral 1,Poor_14,PoorAgent,2025-08-10 18:06:24.976601,,0.0,1.0
4,moral_change,Poor_17 moral 1,Poor_17,PoorAgent,2025-08-10 18:06:43.404626,,0.0,1.0
4,moral_change,Poor_35 moral 0,Poor_35,PoorAgent,2025-08-10 18:07:57.476517,,1.0,0.0
4,moral_change,Poor_24 moral 0,Poor_24,PoorAgent,2025-08-10 18:09:15.376898,,1.0,0.0
5,moral_change,Poor_1 moral 0,Poor_1,PoorAgent,2025-08-10 18:12:25.348793,,1.0,0.0
5,moral_change,Rich_49 moral 1,Rich_49,RichAgent,2025-08-10 18:12:55.224409,,0.0,1.0
5,moral_change,Poor_13 moral 0,Poor_13,PoorAgent,2025-08-10 18:13:15.922730,,1.0,0.0
5,moral_change,Rich_47 moral 0,Rich_47,RichAgent,2025-08-10 18:14:37.064654,,1.0,0.0
5,moral_change,Poor_31 moral 1,Poor_31,PoorAgent,2025-08-10 18:15:03.194700,,0.0,1.0
5,moral_change,Poor_26 moral 0,Poor_26,PoorAgent,2025-08-10 18:16:39.246602,,1.0,0.0
5,moral_change,Poor_21 moral 0,Poor_21,PoorAgent,2025-08-10 18:18:10.472638,,1.0,0.0
5,moral_change,Poor_24 moral 1,Poor_24,PoorAgent,2025-08-10 18:20:51.811082,,0.0,1.0
5,moral_change,Poor_25 moral 1,Poor_25,PoorAgent,2025-08-10 18:21:15.937661,,0.0,1.0
5,moral_change,Poor_18 moral 1,Poor_18,PoorAgent,2025-08-10 18:22:28.173607,,0.0,1.0
5,moral_change,Poor_9 moral 0,Poor_9,PoorAgent,2025-08-10 18:24:15.360489,,1.0,0.0
5,moral_change,Poor_12 moral 0,Poor_12,PoorAgent,2025-08-10 18:25:03.678645,,1.0,0.0
5,moral_change,Poor_30 moral 0,Poor_30,PoorAgent,2025-08-10 18:27:02.521224,,1.0,0.0
5,moral_change,Poor_6 moral 0,Poor_6,PoorAgent,2025-08-10 18:28:43.925220,,1.0,0.0
5,moral_change,Poor_32 moral 1,Poor_32,PoorAgent,2025-08-10 18:29:17.064965,,0.0,1.0
5,moral_change,Poor_17 moral 0,Poor_17,PoorAgent,2025-08-10 18:29:55.005433,,1.0,0.0
6,moral_change,Poor_43 moral 0,Poor_43,PoorAgent,2025-08-10 18:33:06.156503,,1.0,0.0
6,moral_change,Rich_49 moral 0,Rich_49,RichAgent,2025-08-10 18:33:35.955842,,1.0,0.0
6,moral_change,Poor_30 moral 1,Poor_30,PoorAgent,2025-08-10 18:33:56.934358,,0.0,1.0
6,moral_change,Rich_47 moral 1,Rich_47,RichAgent,2025-08-10 18:34:31.971783,,0.0,1.0
6,moral_change,Poor_35 moral 1,Poor_35,PoorAgent,2025-08-10 18:36:10.141847,,0.0,1.0
6,moral_change,Poor_31 moral 0,Poor_31,PoorAgent,2025-08-10 18:36:59.526340,,1.0,0.0
6,moral_change,Poor_36 moral 0,Poor_36,PoorAgent,2025-08-10 18:37:40.807182,,1.0,0.0
6,moral_change,Poor_13 moral 1,Poor_13,PoorAgent,2025-08-10 18:38:01.097178,,0.0,1.0
6,moral_change,Poor_5 moral 0,Poor_5,PoorAgent,2025-08-10 18:38:46.850535,,1.0,0.0
6,moral_change,Poor_4 moral 0,Poor_4,PoorAgent,2025-08-10 18:39:08.023940,,1.0,0.0
6,moral_change,Poor_33 moral 0,Poor_33,PoorAgent,2025-08-10 18:39:29.287973,,1.0,0.0
6,moral_change,Poor_7 moral 0,Poor_7,PoorAgent,2025-08-10 18:40:19.599928,,1.0,0.0
6,moral_change,Poor_11 moral 0,Poor_11,PoorAgent,2025-08-10 18:40:40.658291,,1.0,0.0
6,moral_change,Poor_17 moral 1,Poor_17,PoorAgent,2025-08-10 18:41:25.660420,,0.0,1.0
6,moral_change,Poor_1 moral 1,Poor_1,PoorAgent,2025-08-10 18:42:32.172830,,0.0,1.0
6,moral_change,Poor_42 moral 0,Poor_42,PoorAgent,2025-08-10 18:43:24.990507,,1.0,0.0
6,moral_change,Poor_34 moral 0,Poor_34,PoorAgent,2025-08-10 18:45:47.572574,,1.0,0.0
6,moral_change,Poor_8 moral 0,Poor_8,PoorAgent,2025-08-10 18:47:01.431957,,1.0,0.0
6,moral_change,Poor_26 moral 1,Poor_26,PoorAgent,2025-08-10 18:47:24.673869,,0.0,1.0
6,moral_change,Poor_6 moral 1,Poor_6,PoorAgent,2025-08-10 18:47:49.302554,,0.0,1.0
6,moral_change,Poor_27 moral 1,Poor_27,PoorAgent,2025-08-10 18:48:09.949665,,0.0,1.0
6,moral_change,Poor_40 moral 1,Poor_40,PoorAgent,2025-08-10 18:49:58.611548,,0.0,1.0
6,moral_change,Poor_37 moral 0,Poor_37,PoorAgent,2025-08-10 18:50:48.860568,,1.0,0.0
7,moral_change,Rich_48 moral 1,Rich_48,RichAgent,2025-08-10 18:51:30.295648,,0.0,1.0
7,moral_change,Poor_30 moral 0,Poor_30,PoorAgent,2025-08-10 18:51:51.281309,,1.0,0.0
7,moral_change,Rich_47 moral 0,Rich_47,RichAgent,2025-08-10 18:52:26.348402,,1.0,0.0
7,moral_change,Poor_5 moral 1,Poor_5,PoorAgent,2025-08-10 18:52:48.881403,,0.0,1.0
7,moral_change,Poor_21 moral 1,Poor_21,PoorAgent,2025-08-10 18:53:35.347200,,0.0,1.0
7,moral_change,Rich_49 moral 1,Rich_49,RichAgent,2025-08-10 18:54:05.015325,,0.0,1.0
7,moral_change,Poor_18 moral 0,Poor_18,PoorAgent,2025-08-10 18:55:18.601104,,1.0,0.0
7,moral_change,Poor_4 moral 1,Poor_4,PoorAgent,2025-08-10 18:55:38.341100,,0.0,1.0
7,moral_change,Poor_42 moral 1,Poor_42,PoorAgent,2025-08-10 18:57:57.818394,,0.0,1.0
7,moral_change,Poor_34 moral 1,Poor_34,PoorAgent,2025-08-10 18:58:43.686548,,0.0,1.0
7,moral_change,Poor_8 moral 1,Poor_8,PoorAgent,2025-08-10 18:59:34.866254,,0.0,1.0
7,moral_change,Poor_40 moral 0,Poor_40,PoorAgent,2025-08-10 19:00:24.743747,,1.0,0.0
7,moral_change,Poor_28 moral 0,Poor_28,PoorAgent,2025-08-10 19:01:48.884197,,1.0,0.0
7,moral_change,Poor_43 moral 1,Poor_43,PoorAgent,2025-08-10 19:06:51.264006,,0.0,1.0
7,moral_change,Poor_27 moral 0,Poor_27,PoorAgent,2025-08-10 19:07:11.955529,,1.0,0.0
7,moral_change,Poor_12 moral 1,Poor_12,PoorAgent,2025-08-10 19:08:00.668397,,0.0,1.0
7,moral_change,Poor_11 moral 1,Poor_11,PoorAgent,2025-08-10 19:08:21.496875,,0.0,1.0
7,moral_change,Poor_15 moral 0,Poor_15,PoorAgent,2025-08-10 19:09:53.785064,,1.0,0.0
7,moral_change,Poor_1 moral 0,Poor_1,PoorAgent,2025-08-10 19:10:38.280654,,1.0,0.0
8,moral_change,Rich_49 moral 0,Rich_49,RichAgent,2025-08-10 19:11:33.276388,,1.0,0.0
8,moral_change,Poor_28 moral 1,Poor_28,PoorAgent,2025-08-10 19:11:56.662238,,0.0,1.0
8,moral_change,Poor_9 moral 1,Poor_9,PoorAgent,2025-08-10 19:12:39.788585,,0.0,1.0
8,moral_change,Rich_48 moral 0,Rich_48,RichAgent,2025-08-10 19:13:00.291970,,1.0,0.0
8,moral_change,Poor_21 moral 0,Poor_21,PoorAgent,2025-08-10 19:15:57.541615,,1.0,0.0
8,moral_change,Poor_30 moral 1,Poor_30,PoorAgent,2025-08-10 19:16:48.016848,,0.0,1.0
8,moral_change,Poor_43 moral 0,Poor_43,PoorAgent,2025-08-10 19:17:59.393024,,1.0,0.0
8,moral_change,Poor_36 moral 1,Poor_36,PoorAgent,2025-08-10 19:18:42.252540,,0.0,1.0
8,moral_change,Poor_40 moral 1,Poor_40,PoorAgent,2025-08-10 19:21:26.250855,,0.0,1.0
8,moral_change,Poor_12 moral 0,Poor_12,PoorAgent,2025-08-10 19:22:12.384931,,1.0,0.0
8,moral_change,Poor_31 moral 1,Poor_31,PoorAgent,2025-08-10 19:22:58.358272,,0.0,1.0
8,moral_change,Poor_16 moral 0,Poor_16,PoorAgent,2025-08-10 19:23:46.978949,,1.0,0.0
8,moral_change,Poor_6 moral 0,Poor_6,PoorAgent,2025-08-10 19:24:39.135158,,1.0,0.0
8,moral_change,Poor_15 moral 1,Poor_15,PoorAgent,2025-08-10 19:26:49.704212,,0.0,1.0
8,moral_change,Poor_33 moral 1,Poor_33,PoorAgent,2025-08-10 19:27:40.815336,,0.0,1.0
8,moral_change,Poor_37 moral 1,Poor_37,PoorAgent,2025-08-10 19:30:00.920957,,0.0,1.0
9,moral_change,Rich_49 moral 1,Rich_49,RichAgent,2025-08-10 19:31:55.815215,,0.0,1.0
9,moral_change,Poor_30 moral 0,Poor_30,PoorAgent,2025-08-10 19:32:16.830718,,1.0,0.0
9,moral_change,Poor_43 moral 1,Poor_43,PoorAgent,2025-08-10 19:33:09.914770,,0.0,1.0
9,moral_change,Poor_33 moral 0,Poor_33,PoorAgent,2025-08-10 19:33:51.711736,,1.0,0.0
9,moral_change,Poor_6 moral 1,Poor_6,PoorAgent,2025-08-10 19:39:01.555136,,0.0,1.0
9,moral_change,Poor_13 moral 0,Poor_13,PoorAgent,2025-08-10 19:39:22.164685,,1.0,0.0
9,moral_change,Poor_37 moral 0,Poor_37,PoorAgent,2025-08-10 19:40:13.915968,,1.0,0.0
9,moral_change,Poor_18 moral 1,Poor_18,PoorAgent,2025-08-10 19:40:40.876203,,0.0,1.0
9,moral_change,Poor_29 moral 0,Poor_29,PoorAgent,2025-08-10 19:41:09.314286,,1.0,0.0
9,moral_change,Poor_24 moral 0,Poor_24,PoorAgent,2025-08-10 19:42:43.589298,,1.0,0.0
9,moral_change,Poor_1 moral 1,Poor_1,PoorAgent,2025-08-10 19:43:06.236956,,0.0,1.0
9,moral_change,Poor_5 moral 0,Poor_5,PoorAgent,2025-08-10 19:43:50.553173,,1.0,0.0
9,moral_change,Poor_40 moral 0,Poor_40,PoorAgent,2025-08-10 19:45:03.189022,,1.0,0.0
9,moral_change,Poor_38 moral 0,Poor_38,PoorAgent,2025-08-10 19:45:24.618651,,1.0,0.0
9,moral_change,Poor_21 moral 1,Poor_21,PoorAgent,2025-08-10 19:47:30.827376,,0.0,1.0
9,moral_change,Poor_12 moral 1,Poor_12,PoorAgent,2025-08-10 19:48:44.077953,,0.0,1.0
9,moral_change,Poor_17 moral 0,Poor_17,PoorAgent,2025-08-10 19:49:32.494372,,1.0,0.0
10,moral_change,Poor_24 moral 1,Poor_24,PoorAgent,2025-08-10 19:51:11.555310,,0.0,1.0
10,moral_change,Poor_21 moral 0,Poor_21,PoorAgent,2025-08-10 19:55:30.062389,,1.0,0.0
10,moral_change,Poor_38 moral 1,Poor_38,PoorAgent,2025-08-10 19:56:37.730624,,0.0,1.0
10,moral_change,Poor_33 moral 1,Poor_33,PoorAgent,2025-08-10 19:57:00.510799,,0.0,1.0
10,moral_change,Poor_27 moral 1,Poor_27,PoorAgent,2025-08-10 19:59:49.392005,,0.0,1.0
10,moral_change,Poor_25 moral 0,Poor_25,PoorAgent,2025-08-10 20:01:22.151325,,1.0,0.0
10,moral_change,Poor_13 moral 1,Poor_13,PoorAgent,2025-08-10 20:05:04.616112,,0.0,1.0
10,moral_change,Poor_5 moral 1,Poor_5,PoorAgent,2025-08-10 20:05:26.949256,,0.0,1.0
10,moral_change,Poor_12 moral 0,Poor_12,PoorAgent,2025-08-10 20:08:13.116827,,1.0,0.0
10,moral_change,Poor_45 moral 0,Poor_45,PoorAgent,2025-08-10 20:09:56.365254,,1.0,0.0
10,moral_change,Poor_41 moral 0,Poor_41,PoorAgent,2025-08-10 20:11:07.209536,,1.0,0.0
