step,agent_id,type,wealth,position,mood,employed,wage,reservation_wage,protesting,last_action,last_speech,employer_wealth,transparent
3,Poor_5,PoorAgent,16.48,"(18, 6)",0.5,True,2.75,,False,work,继续工作，维持收入稳定,1782.4099999999999,False
3,Poor_6,PoorAgent,12.969999999999999,"(0, 0)",0.5,True,2.54,,False,work,继续工作，维持收入和雇主关系,1804.9800000000002,False
3,Poor_7,PoorAgent,18.91,"(7, 12)",0.5,True,3.76,,False,work,继续工作，维持收入和满意度,1782.4099999999999,False
3,Poor_8,PoorAgent,11.540000000000001,"(6, 0)",0.5,True,2.58,,False,work,继续保持现状，维持收入和满意度,1804.9800000000002,False
3,Poor_9,PoorAgent,8.14,"(15, 1)",0.5,True,2.05,,False,work,继续工作，维持收入,1782.4099999999999,False
3,Poor_10,PoorAgent,16.96,"(11, 4)",0.5,True,3.19,,False,work,继续工作，维持收入和满意度,1804.9800000000002,False
3,Poor_11,PoorAgent,10.64,"(12, 12)",0.5,True,2.15,,False,work,继续为雇主工作，维持收入和提升满意度。,1782.4099999999999,False
3,Poor_12,PoorAgent,18.040000000000003,"(12, 11)",0.5,True,2.97,,False,work,继续工作，维持收入和提高满意度,1804.9800000000002,False
3,Poor_13,PoorAgent,9.17,"(11, 14)",0.5,True,2.59,,False,work,继续努力工作以维持收入和提升满意度,1782.4099999999999,False
3,Poor_14,PoorAgent,12.989999999999998,"(4, 16)",0.5,True,3.13,,False,work,继续为雇主工作，维持收入和提升满意度。,1804.9800000000002,False
3,Poor_15,PoorAgent,14.73,"(10, 9)",0.5,True,3.14,,False,work,继续工作，维持收入稳定。,1782.4099999999999,False
3,Poor_16,PoorAgent,19.259999999999998,"(0, 14)",0.5,True,3.54,,False,work,继续工作，以维持收入和提升满意度,1804.9800000000002,False
3,Poor_17,PoorAgent,13.18,"(15, 7)",0.5,True,2.55,,False,work,继续工作以维持收入和提高满意度,1782.4099999999999,False
3,Poor_18,PoorAgent,16.979999999999997,"(0, 15)",0.5,True,3.13,,False,work,继续完成当前任务，维持收入和雇佣关系,1804.9800000000002,False
3,Rich_19,RichAgent,1782.4099999999999,"(4, 7)",0.5,,,,,hire,我正在寻找工作机会,,False
3,Rich_20,RichAgent,1804.9800000000002,"(16, 5)",0.5,,,,,hire,我正在寻找稳定且有利可图的工作机会。,,False
4,Poor_1,PoorAgent,15.78,"(14, 1)",0.5,True,2.08,,False,work,继续努力工作，维持收入和提高满意度,2377.45,False
4,Poor_2,PoorAgent,11.470000000000002,"(14, 18)",0.5,True,2.37,,False,work,继续保持现状，维持收入和满意度,2433.2000000000003,False
4,Poor_3,PoorAgent,13.290000000000001,"(4, 16)",0.5,True,2.89,,False,work,继续努力工作，维持收入和提升满意度。,2377.45,False
4,Poor_4,PoorAgent,22.71,"(19, 2)",0.5,True,3.33,,False,work,继续工作，维持收入和满意度,2433.2000000000003,False
4,Poor_5,PoorAgent,19.23,"(19, 5)",0.5,True,2.75,,False,work,继续工作，保持收入稳定,2377.45,False
4,Poor_6,PoorAgent,15.509999999999998,"(19, 19)",0.5,True,2.54,,False,work,继续工作，维持收入和雇主关系,2433.2000000000003,False
4,Poor_7,PoorAgent,22.67,"(6, 13)",0.5,True,3.76,,False,work,继续工作，维持收入和满意度,2377.45,False
4,Poor_8,PoorAgent,14.120000000000001,"(5, 1)",0.5,True,2.58,,False,work,继续保持现状，维持收入和满意度,2433.2000000000003,False
4,Poor_9,PoorAgent,10.190000000000001,"(16, 2)",0.5,True,2.05,,False,work,继续工作，维持收入,2377.45,False
4,Poor_10,PoorAgent,20.150000000000002,"(11, 3)",0.5,True,3.19,,False,work,继续工作，维持收入和满意度,2433.2000000000003,False
4,Poor_11,PoorAgent,12.790000000000001,"(13, 12)",0.5,True,2.15,,False,work,继续为雇主工作，维持收入和提升满意度。,2377.45,False
4,Poor_12,PoorAgent,21.01,"(12, 10)",0.5,True,2.97,,False,work,继续工作，维持收入和提高满意度,2433.2000000000003,False
4,Poor_13,PoorAgent,11.76,"(11, 13)",0.5,True,2.59,,False,work,继续努力工作以维持收入和提升满意度,2377.45,False
4,Poor_14,PoorAgent,16.119999999999997,"(4, 15)",0.5,True,3.13,,False,work,继续为雇主工作，维持收入和提升满意度。,2433.2000000000003,False
4,Poor_15,PoorAgent,17.87,"(9, 8)",0.5,True,3.14,,False,work,继续工作，维持收入稳定。,2377.45,False
4,Poor_16,PoorAgent,22.799999999999997,"(1, 13)",0.5,True,3.54,,False,work,继续工作，以维持收入和提升满意度,2433.2000000000003,False
4,Poor_17,PoorAgent,15.73,"(16, 8)",0.5,True,2.55,,False,work,继续工作以维持收入和提高满意度,2377.45,False
4,Poor_18,PoorAgent,20.109999999999996,"(1, 16)",0.5,True,3.13,,False,work,继续完成当前任务，维持收入和雇佣关系,2433.2000000000003,False
4,Rich_19,RichAgent,2377.45,"(4, 7)",0.5,,,,,hire,我将继续寻找新的工作机会,,False
4,Rich_20,RichAgent,2433.2000000000003,"(16, 5)",0.5,,,,,hire,我正在寻找稳定且有利可图的工作机会。,,False
5,Poor_1,PoorAgent,17.86,"(14, 0)",0.5,True,2.08,,False,work,继续努力工作，维持收入和提高满意度,3028.49,False
5,Poor_2,PoorAgent,13.840000000000003,"(14, 17)",0.5,True,2.37,,False,work,继续保持现状，维持收入和满意度,3054.42,False
5,Poor_3,PoorAgent,16.18,"(3, 15)",0.5,True,2.89,,False,work,继续努力工作，维持收入和提升满意度。,3028.49,False
5,Poor_4,PoorAgent,26.04,"(0, 2)",0.5,True,3.33,,False,work,继续工作，维持收入和满意度,3054.42,False
5,Poor_5,PoorAgent,21.98,"(18, 5)",0.5,True,2.75,,False,work,继续工作，维持收入稳定,3028.49,False
5,Poor_6,PoorAgent,18.049999999999997,"(19, 18)",0.5,True,2.54,,False,work,继续工作，维持收入和雇主关系,3054.42,False
5,Poor_7,PoorAgent,26.43,"(7, 13)",0.5,True,3.76,,False,work,继续工作，维持收入和满意度,3028.49,False
5,Poor_8,PoorAgent,16.700000000000003,"(6, 2)",0.5,True,2.58,,False,work,继续保持现状，维持收入和满意度,3054.42,False
5,Poor_9,PoorAgent,12.240000000000002,"(17, 3)",0.5,True,2.05,,False,work,继续工作，维持收入,3028.49,False
5,Poor_10,PoorAgent,23.340000000000003,"(12, 3)",0.5,True,3.19,,False,work,继续工作，维持收入和满意度,3054.42,False
5,Poor_11,PoorAgent,14.940000000000001,"(12, 13)",0.5,True,2.15,,False,work,继续为雇主工作，维持收入和提升满意度。,3028.49,False
5,Poor_12,PoorAgent,23.98,"(12, 9)",0.5,True,2.97,,False,work,继续工作，维持收入和提高满意度,3054.42,False
5,Poor_13,PoorAgent,14.35,"(10, 13)",0.5,True,2.59,,False,work,继续努力工作以维持收入和提升满意度,3028.49,False
5,Poor_14,PoorAgent,19.249999999999996,"(5, 16)",0.5,True,3.13,,False,work,继续为雇主工作，维持收入和提升满意度。,3054.42,False
5,Poor_15,PoorAgent,21.01,"(9, 7)",0.5,True,3.14,,False,work,继续工作，维持收入稳定。,3028.49,False
5,Poor_16,PoorAgent,26.339999999999996,"(1, 12)",0.5,True,3.54,,False,work,继续工作，以维持收入和提升满意度,3054.42,False
5,Poor_17,PoorAgent,18.28,"(16, 7)",0.5,True,2.55,,False,work,继续工作以维持收入和提高满意度,3028.49,False
5,Poor_18,PoorAgent,23.239999999999995,"(0, 15)",0.5,True,3.13,,False,work,继续完成当前任务，维持收入和雇佣关系,3054.42,False
5,Rich_19,RichAgent,3028.49,"(4, 7)",0.5,,,,,hire,我将继续寻找新的工作机会,,False
5,Rich_20,RichAgent,3054.42,"(16, 5)",0.5,,,,,hire,我正在寻找稳定且有利可图的工作机会。,,False
